haralick01,haralick02,haralick03,haralick04,haralick05,haralick06,haralick07,haralick08,haralick09,haralick10,haralick11,haralick12,haralick13,area,perimetro,'desvio padrao',mediana,curtose,variância,lacunaridade,'dimensao fractal','sucolaridade de cima para baixo','sucolaridade da direita para a esquerda','sucolaridade de baixo para cima','sucolaridade da esquerda para a direita',lbp1,lbp2,lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9,lbp10,lbp11,lbp12,lbp13,lbp14,lbp15,lbp16,lbp17,lbp18,lbp19,lbp20,lbp21,lbp22,lbp23,lbp24,lbp25,lbp26,lbp27,lbp28,lbp29,lbp30,lbp31,lbp32,lbp33,lbp34,lbp35,lbp36,lbp37,lbp38,lbp39,lbp40,lbp41,lbp42,lbp43,lbp44,lbp45,lbp46,lbp47,lbp48,lbp49,lbp50,lbp51,lbp52,lbp53,lbp54,lbp55,lbp56,lbp57,lbp58,lbp59,classe
0.000709,112.274247,0.900659,565.570634,0.174253,254.184246,2150.008291,7.435368,10.982431,0.000357,4.288818,-0.30981,0.990077,3969,252,23.827975,131,0.969778,0.187371,0.102558,1.749008,0.004401,0.006258,0.000484,0.000134,0.101431,0.04916,0.00809,0.028625,0.02178,0.003734,0.014312,0.067828,0.012446,0.001245,0.001245,0.002489,0.026758,0.002489,0.051649,0.16677,0.044182,0.01369,0.002489,0.0056,0.001867,0,0.004356,0.004978,0.037337,0.002489,0.003111,0.003111,0.072184,0.004978,0.09023,0.065961,0.0056,0.001245,0,0.002489,0.001245,0,0,0.001245,0.000622,0,0,0.000622,0,0,0.001245,0.004356,0.028002,0.003734,0.001867,0.001867,0.001867,0,0.000622,0.001867,0.02178,0.001245,0.001867,Colin_Powell
0.000475,128.753914,0.922733,834.166196,0.148167,275.247231,3207.910869,7.771472,11.403119,0.000274,4.419927,-0.33169,0.994277,3969,252,29.014599,138,-0.467661,0.211344,0.10131,1.647064,0.011116,0.015144,0.014445,0.010561,0.118495,0.036991,0.011912,0.020063,0.023824,0,0.027586,0.075235,0.00815,0.001254,0,0.001254,0.029467,0.001881,0.063323,0.089028,0.04953,0.013166,0.001254,0.002508,0.004389,0,0.003135,0.000627,0.034483,0.004389,0.001881,0,0.090282,0.000627,0.12163,0.068339,0.018182,0.004389,0.001254,0.000627,0,0,0.001254,0.002508,0,0,0,0,0,0,0.001881,0.000627,0.023197,0.003762,0.000627,0,0.004389,0,0.001254,0.001254,0.026959,0.001254,0.001881,Colin_Powell
0.000432,153.371953,0.941861,1319.227024,0.143881,262.775626,5123.536143,8.063541,11.617381,0.000223,4.5609,-0.369829,0.997282,3969,252,36.26456,131,0.143746,0.276103,0.103167,1.762699,0.00823,0.010117,0,0.009878,0.102417,0.022901,0.006361,0.023537,0.023537,0.002545,0.022901,0.05598,0.01145,0.001272,0.001908,0.001272,0.030534,0.001908,0.074427,0.090331,0.045802,0.010814,0.005089,0.006361,0.001908,0,0.002545,0.001908,0.035623,0.001908,0.003181,0.003181,0.085242,0.001272,0.14631,0.082697,0.009542,0.003181,0.001272,0.000636,0.001272,0,0,0.001908,0,0,0,0,0,0.000636,0.001272,0.003817,0.027354,0.003817,0,0,0.001908,0.000636,0,0.001908,0.030534,0,0.003181,Colin_Powell
0.000427,349.95382,0.941925,3019.040686,0.129314,246.133931,11726.208925,8.426325,11.945134,0.000152,5.064963,-0.405627,0.998819,3969,252,55.525964,119,-0.240789,0.447541,0.103747,1.759261,0.004447,0.002401,0.005428,0.000474,0.101562,0.074519,0.016226,0.034255,0.022837,0.007212,0.035457,0.041466,0.009014,0.003606,0.001202,0.001803,0.022837,0.003606,0.069111,0.126202,0.064904,0.010817,0.002404,0.001202,0.001202,0.000601,0.002404,0.002404,0.020433,0.000601,0.000601,0.001202,0.033654,0.001202,0.114784,0.095553,0.010817,0.001202,0.000601,0.000601,0.001803,0,0.001202,0.002404,0,0,0,0,0.002404,0.000601,0.001202,0.003005,0.02524,0.002404,0,0.000601,0.003606,0,0.002404,0.003005,0.008413,0.000601,0.003005,Colin_Powell
0.000285,422.67276,0.916668,2536.128344,0.112335,261.823782,9721.840615,8.521861,12.156562,0.00014,5.205363,-0.400344,0.998821,3969,252,50.231602,135,-0.545161,0.382508,0.102904,1.733067,0.00446,0.00554,0.001239,0.009763,0.098567,0.051576,0.010888,0.032665,0.017765,0.005158,0.022923,0.048711,0.0149,0.002292,0.000573,0.001146,0.026361,0.001146,0.068768,0.126074,0.03553,0.009169,0.003438,0.004585,0.004011,0.000573,0.004011,0.006304,0.027507,0.001719,0.004011,0.001146,0.045272,0.002865,0.157593,0.081948,0.008023,0.005158,0.000573,0.000573,0,0,0.001146,0.002292,0,0,0.000573,0,0.000573,0,0.001719,0.005158,0.014327,0.002292,0,0.002292,0.000573,0,0.002292,0.001719,0.028653,0.001146,0.001719,Colin_Powell
0.000537,130.087002,0.891976,602.876229,0.141063,265.657697,2281.417914,7.525299,11.258064,0.000272,4.45783,-0.291999,0.98856,3969,252,24.71879,132,-0.116596,0.186495,0.098505,1.82178,0.001359,0.000824,0.003586,0.002982,0.130244,0.043832,0.009393,0.031309,0.011897,0.002505,0.019411,0.069505,0.011897,0.003131,0.000626,0.001879,0.031935,0.003757,0.053851,0.129618,0.050094,0.010645,0.001252,0.002505,0.000626,0,0.002505,0.001879,0.041954,0.001879,0.004383,0.004383,0.050094,0.004383,0.107076,0.067001,0.012523,0.000626,0,0.000626,0,0,0.001252,0.001252,0,0,0,0,0.000626,0,0.001252,0.001879,0.032561,0.006888,0.000626,0.000626,0.001252,0.000626,0,0,0.025673,0.002505,0.003757,Colin_Powell
0.000696,117.804999,0.884897,512.285303,0.173049,244.395136,1931.336212,7.387512,10.948559,0.000299,4.287703,-0.303949,0.989519,3969,252,22.745991,124,1.213389,0.186198,0.104663,1.73937,0.006837,0.006878,0,0.008738,0.148852,0.040656,0.008525,0.028197,0.043934,0,0.026885,0.061639,0.015082,0.001967,0,0,0.03082,0.005246,0.041967,0.103607,0.03541,0.011803,0.002623,0.005246,0.005246,0.000656,0.002623,0.001311,0.038689,0.001967,0.001311,0.003279,0.083934,0.003934,0.083934,0.05377,0.012459,0.001311,0.001311,0.001967,0.000656,0,0,0.000656,0,0,0,0,0.002623,0,0.000656,0.000656,0.028852,0.003934,0.001311,0.001967,0.001967,0,0.000656,0.001967,0.034754,0.003279,0.005902,Colin_Powell
0.000369,232.236782,0.948271,2247.544731,0.138338,237.45259,8757.94214,8.354335,11.878328,0.0002,4.831527,-0.400517,0.998641,3969,252,47.765274,117,-0.224807,0.400297,0.106486,1.690139,0.004261,0.002532,0.005944,0.000419,0.106195,0.055457,0.013569,0.031858,0.016519,0.00118,0.033038,0.064307,0.00885,0.00413,0.00059,0,0.029499,0.00236,0.069617,0.159882,0.041888,0.012389,0.00118,0.00354,0.00236,0,0.00236,0.00236,0.022419,0.00118,0.00118,0.00354,0.030678,0.00236,0.116224,0.105605,0.00944,0.00177,0.00059,0.00059,0.00059,0,0.00059,0.00059,0,0.00059,0,0,0.00059,0,0.00059,0.00059,0.020649,0.00413,0,0.00118,0.00059,0,0.00118,0.00118,0.00649,0.00059,0.00118,Colin_Powell
0.000604,97.17981,0.91804,593.1008,0.163773,224.250033,2275.223391,7.534717,11.115617,0.000341,4.238115,-0.311691,0.991171,3969,252,24.405839,115,-0.429613,0.218129,0.096762,1.715363,0.000412,0,0,0.000732,0.132862,0.033216,0.010601,0.035336,0.036749,0.001413,0.029682,0.071378,0.013428,0.001413,0,0.001413,0.024735,0.000707,0.058657,0.083392,0.040283,0.010601,0,0.003534,0.00636,0,0.00212,0.004947,0.036749,0.000707,0.00212,0.004947,0.090459,0.001413,0.082686,0.055124,0.012014,0.000707,0.000707,0,0.003534,0,0.000707,0,0,0,0,0,0.00212,0,0.000707,0.00212,0.028269,0.005654,0,0.000707,0.002827,0,0.000707,0.000707,0.054417,0.00212,0.004947,Colin_Powell
0.000708,83.916841,0.933763,635.019603,0.187741,232.544606,2456.161572,7.518954,10.953417,0.000432,4.124022,-0.333263,0.993342,3969,252,25.527683,120,0.449121,0.220228,0.102868,1.697479,0.005917,0,0,0.00422,0.123549,0.032082,0.004778,0.025939,0.043686,0.004096,0.02116,0.100341,0.013652,0.00273,0.000683,0.002048,0.029352,0.003413,0.043686,0.118771,0.043003,0.008191,0.001365,0.003413,0.003413,0.000683,0,0.006143,0.043003,0.008191,0.001365,0.002048,0.05802,0.00273,0.081229,0.049829,0.011604,0.006826,0,0,0.000683,0,0.000683,0.00273,0.001365,0,0,0,0.000683,0,0,0.002048,0.038225,0.003413,0.001365,0.001365,0.001365,0,0.002048,0.002048,0.03959,0.000683,0.000683,Colin_Powell
